Report,Elapsed Time (s),CPI Rate,Retiring (%),Front-End Bound (%),Bad Speculation (%),Memory Bound (%),Core Bound (%),Average CPU Frequency (GHz)
510_2100_2,63.881,0.485,44.9,12.4,5.7,11.7,25.4,2.094
510_2100_3,64.037,0.486,45.8,12.4,5.8,11.8,24.2,2.094
510_2100_4,63.970,0.486,44.5,12.3,6.0,12.1,25.1,2.094
510_2300_0,57.952,0.485,44.7,12.4,6.4,12.0,24.5,2.294
510_2300_1,57.911,0.485,45.0,12.1,6.2,11.8,24.9,2.294
510_2300_2,57.947,0.485,44.9,12.4,6.4,12.4,23.8,2.293
510_2300_3,57.939,0.485,45.0,12.2,6.5,12.3,24.1,2.293
510_2300_4,57.944,0.485,45.0,12.1,6.4,12.3,24.2,2.293
510_2400_0,55.496,0.485,45.2,12.2,6.3,11.8,24.4,2.393
510_2400_1,55.558,0.485,45.1,11.8,5.8,12.4,24.9,2.393
510_2400_2,55.507,0.485,44.9,12.0,6.2,12.3,24.5,2.392
510_2400_3,55.507,0.485,45.0,12.0,6.2,12.3,24.5,2.393
510_2400_4,55.473,0.484,44.8,12.0,6.2,12.1,24.7,2.391
510_2500_0,53.353,0.485,45.7,11.8,5.5,12.3,24.7,2.493
510_2500_1,53.371,0.485,45.7,12.0,5.5,12.8,24.0,2.493
510_2500_2,53.371,0.485,45.6,12.0,5.6,12.7,24.2,2.493
510_2500_3,53.339,0.485,46.0,12.2,5.6,12.3,23.9,2.493
510_2500_4,53.352,0.485,45.9,12.0,5.5,12.5,24.0,2.493
510_2600_0,49.614,0.470,46.6,13.2,6.2,9.4,24.6,2.594
510_2600_1,49.593,0.470,46.0,13.3,6.3,9.2,25.2,2.591
510_2600_2,49.604,0.470,46.0,13.4,6.4,9.1,25.0,2.592
510_2600_3,49.582,0.470,45.9,13.2,6.4,9.1,25.4,2.59
510_2600_4,49.601,0.470,46.1,13.5,6.0,9.4,24.9,2.592
510_3700_0,36.710,0.484,45.1,12.1,6.3,11.1,25.4,3.628
510_3700_1,36.708,0.483,44.8,12.1,6.6,10.5,26.0,3.625
510_3700_2,36.694,0.483,44.9,12.2,6.9,11.2,24.8,3.626
510_3700_3,36.680,0.483,45.4,12.0,6.6,10.6,25.5,3.626
510_3700_4,36.711,0.484,44.3,12.5,7.3,11.1,24.9,3.628
511_1000_0,13.454,0.396,64.9,14.0,8.3,2.6,10.3,0.997581
511_1000_1,13.495,0.396,64.8,14.0,8.3,1.2,11.7,0.995943
511_1000_2,13.447,0.395,65.6,14.7,8.3,1.1,10.3,0.996013
511_1000_3,13.447,0.396,66.2,14.0,7.6,2.4,9.7,0.99773
511_1000_4,13.466,0.396,66.1,14.0,8.3,2.3,9.3,0.996835
511_1100_0,12.258,0.397,67.3,14.6,8.3,1.8,8.0,1.097
511_1100_1,12.293,0.398,66.5,13.9,8.9,2.0,8.7,1.097
511_1100_2,12.251,0.396,68.1,14.6,7.6,1.8,7.8,1.094
511_1100_3,12.255,0.396,67.4,14.6,8.3,1.8,7.9,1.094
511_1100_4,12.235,0.396,67.5,14.6,8.3,1.8,7.8,1.094
511_1200_0,11.223,0.396,64.3,14.0,8.3,2.7,10.7,1.193
511_1200_1,11.253,0.397,64.1,14.6,8.3,2.5,10.5,1.194
511_1200_2,11.236,0.397,64.1,14.0,7.6,2.9,11.5,1.197
511_1200_3,11.228,0.396,63.6,14.0,7.6,3.0,11.8,1.194
511_1200_4,11.169,0.394,64.0,14.1,8.3,1.4,12.2,1.195
511_1300_0,10.378,0.396,63.6,14.0,7.6,3.0,11.8,1.291
511_1300_1,10.336,0.395,64.4,14.0,7.7,3.1,10.8,1.293
511_1300_2,10.353,0.395,63.7,13.4,8.3,3.0,11.6,1.294
511_1300_3,10.342,0.396,65.7,14.4,7.9,2.4,9.6,1.296
511_1300_4,10.360,0.396,63.0,13.4,8.3,3.1,12.2,1.293
511_1500_0,8.995,0.396,67.3,14.6,8.9,1.7,7.5,1.493
511_1500_1,8.969,0.395,68.2,14.7,7.6,0.9,8.6,1.493
511_1500_2,8.993,0.396,68.1,14.0,7.6,1.0,9.4,1.489
511_1500_3,9.033,0.398,66.5,13.9,8.9,1.0,9.7,1.491
511_1500_4,8.969,0.396,67.5,14.6,8.3,1.8,7.8,1.494
511_1600_0,8.416,0.395,65.6,14.0,8.3,1.2,10.8,1.592
511_1600_1,8.456,0.397,64.7,14.0,8.2,1.3,11.8,1.593
511_1600_2,8.490,0.399,64.4,13.9,8.2,1.4,12.1,1.59
511_1600_3,8.423,0.396,65.5,14.0,8.3,1.2,11.0,1.591
511_1600_4,8.390,0.395,65.7,14.0,8.3,1.2,10.8,1.592
511_1700_0,8.069,0.404,65.6,13.7,8.4,2.9,9.4,1.693
511_1700_1,8.034,0.400,69.2,15.1,8.2,1.4,6.1,1.684
511_1700_2,8.032,0.401,69.2,14.5,9.4,0.6,6.3,1.69
511_1700_3,7.920,0.395,70.2,14.7,8.3,0.6,6.2,1.685
511_1700_4,7.988,0.398,68.9,14.5,8.2,0.7,7.6,1.689
511_1800_0,7.504,0.397,66.7,14.0,7.6,1.1,10.7,1.789
511_1800_1,7.461,0.394,67.1,14.1,7.7,1.0,10.1,1.789
511_1800_2,7.574,0.400,68.6,14.5,8.6,1.4,6.9,1.79
511_1800_3,7.548,0.399,66.3,13.9,7.6,1.1,11.0,1.787
511_1800_4,7.570,0.399,65.6,15.1,8.2,1.8,9.3,1.785
511_1900_0,7.107,0.396,71.2,14.6,8.3,0.5,5.4,1.886
511_1900_1,7.186,0.400,69.9,14.5,8.2,0.7,6.8,1.885
511_1900_2,7.147,0.398,68.4,19.0,7.6,0.9,4.2,1.884
511_1900_3,7.122,0.397,66.6,19.0,10.1,0.7,3.5,1.889
511_1900_4,7.142,0.398,70.3,15.2,8.2,0.6,5.7,1.887
511_2000_0,6.829,0.401,60.9,18.2,10.0,2.1,8.8,1.99
511_2000_1,6.825,0.401,65.4,13.8,8.2,1.3,11.3,1.986
511_2000_2,6.817,0.399,65.6,15.1,8.8,1.7,8.8,1.982
511_2000_3,6.791,0.399,65.0,15.8,8.8,1.7,8.7,1.991
511_2000_4,6.765,0.397,65.3,14.0,8.2,1.3,11.2,1.987
511_2100_0,6.431,0.396,69.3,14.6,8.3,0.7,7.1,2.083
511_2100_1,6.400,0.395,70.2,14.7,8.9,0.6,5.7,2.089
511_2100_2,6.413,0.396,70.6,14.6,8.3,1.2,5.3,2.091
511_2100_3,6.490,0.400,67.4,14.5,11.3,0.6,6.1,2.082
511_2100_4,6.432,0.397,69.8,14.6,7.6,1.5,6.6,2.088
511_2300_0,5.870,0.396,66.8,14.0,7.6,1.1,10.4,2.287
511_2300_1,5.880,0.396,66.7,14.0,7.6,1.2,10.5,2.281
511_2300_2,5.868,0.395,67.0,14.0,7.7,1.1,10.2,2.28
511_2300_3,5.899,0.398,65.8,16.5,7.6,1.0,9.2,2.282
511_2300_4,5.893,0.397,66.6,14.0,8.2,1.1,10.2,2.284
511_2400_0,5.635,0.396,69.3,14.0,8.3,0.8,7.7,2.379
511_2400_1,5.654,0.399,69.5,13.9,8.2,0.8,7.6,2.386
511_2400_2,5.627,0.396,69.4,14.6,7.6,0.8,7.6,2.385
511_2400_3,5.625,0.397,64.6,13.6,8.3,2.3,11.2,2.39
511_2400_4,5.636,0.397,69.2,14.0,8.3,0.8,7.8,2.381
511_2500_0,5.400,0.395,67.8,14.3,7.7,1.6,8.6,2.48
511_2500_1,5.427,0.398,72.2,15.2,8.2,0.4,4.0,2.483
511_2500_2,5.394,0.394,72.9,15.3,8.3,0.3,3.2,2.473
511_2500_3,5.407,0.396,72.4,15.3,8.3,0.3,3.7,2.49
511_2500_4,5.394,0.395,72.7,15.3,8.3,0.3,3.3,2.482
511_2600_0,5.280,0.403,71.9,15.6,8.8,0.6,3.1,2.582
511_2600_1,5.186,0.395,64.4,13.4,7.7,1.6,12.9,2.574
511_2600_2,5.182,0.395,64.5,13.4,7.7,1.6,12.8,2.576
511_2600_3,5.187,0.396,64.2,13.4,7.6,1.7,13.1,2.581
511_2600_4,5.173,0.394,65.3,13.4,8.3,1.5,11.5,2.579
511_3700_0,3.662,0.394,77.3,16.0,8.3,0.0,0.0,3.644
511_3700_1,3.672,0.393,78.1,16.0,8.3,0.0,0.0,3.623
511_3700_2,3.679,0.396,77.0,15.9,8.3,0.0,0.0,3.638
511_3700_3,3.681,0.395,77.7,15.9,8.9,0.0,0.0,3.636
511_3700_4,3.680,0.395,83.4,16.7,8.3,0.0,0.0,3.646
519_1000_0,72.241,0.543,45.9,0.5,0.4,13.9,39.3,0.997154
519_1000_1,72.518,0.545,46.0,0.5,0.1,14.1,39.3,0.9970589999999999
519_1000_2,72.431,0.545,45.9,0.5,0.4,13.7,39.6,0.9977670000000001
519_1000_3,70.692,0.532,46.7,0.5,0.4,14.5,38.0,0.997471
519_1000_4,70.597,0.531,47.0,0.5,0.2,14.2,38.0,0.9971
519_1100_0,66.985,0.554,45.0,1.0,0.2,14.4,39.3,1.097
519_1100_1,67.171,0.556,44.6,0.5,0.2,15.5,39.2,1.097
519_1100_2,67.057,0.555,45.4,0.5,0.2,14.9,39.0,1.097
519_1100_3,66.940,0.554,44.8,0.5,0.2,15.2,39.3,1.097
519_1100_4,67.142,0.555,45.3,0.3,0.2,15.0,39.1,1.097
519_1200_0,62.219,0.562,45.0,0.5,0.3,15.0,39.1,1.197
519_1200_1,62.283,0.562,44.4,0.5,0.2,15.3,39.7,1.197
519_1200_2,62.576,0.565,44.0,0.5,0.2,15.6,39.8,1.197
519_1200_3,60.858,0.549,45.2,0.5,0.2,15.7,38.4,1.197
519_1200_4,60.944,0.550,45.0,0.6,0.4,16.2,37.9,1.197
519_1300_0,57.608,0.563,44.7,0.6,0.2,16.2,38.4,1.296
519_1300_1,57.531,0.563,44.5,0.8,0.2,16.5,38.0,1.297
519_1300_2,57.647,0.564,44.5,0.6,0.2,16.6,38.1,1.297
519_1300_3,57.553,0.563,43.9,0.9,0.2,17.0,37.9,1.296
519_1300_4,57.518,0.563,44.3,0.6,0.2,16.3,38.6,1.297
519_1500_0,52.345,0.591,43.6,0.5,0.2,16.5,39.2,1.496
519_1500_1,52.396,0.591,43.6,0.7,0.2,18.5,37.0,1.496
519_1500_2,52.366,0.591,43.6,0.5,0.2,19.1,36.6,1.496
519_1500_3,52.089,0.588,40.2,0.5,0.2,17.8,41.2,1.496
519_1500_4,52.341,0.590,44.5,0.5,0.3,17.0,37.7,1.496
519_1600_0,49.985,0.601,41.4,0.5,0.2,19.2,38.7,1.595
519_1600_1,50.536,0.608,40.1,0.5,0.2,19.4,39.8,1.595
519_1600_2,50.152,0.604,40.9,0.5,0.2,19.7,38.7,1.595
519_1600_3,50.319,0.606,41.0,0.5,0.2,19.5,38.7,1.596
519_1600_4,50.426,0.607,40.5,0.5,0.2,19.9,38.9,1.595
519_1700_0,48.618,0.622,40.0,0.5,0.1,20.7,38.6,1.695
519_1700_1,48.600,0.621,39.9,0.5,0.2,20.7,38.7,1.695
519_1700_2,48.369,0.619,40.8,0.5,0.1,20.0,38.6,1.696
519_1700_3,48.639,0.622,39.8,0.6,0.2,20.8,38.5,1.695
519_1700_4,49.073,0.627,39.8,0.5,0.3,20.2,39.2,1.694
519_1800_0,47.859,0.648,37.6,0.6,0.2,21.9,39.6,1.794
519_1800_1,47.280,0.640,38.8,1.1,0.1,21.7,38.2,1.795
519_1800_2,46.914,0.635,38.9,0.6,0.2,21.4,38.9,1.795
519_1800_3,47.279,0.640,39.0,1.3,0.2,21.7,37.8,1.795
519_1800_4,47.344,0.641,39.8,0.5,0.2,21.4,38.1,1.795
519_1900_0,46.109,0.659,38.0,0.6,0.2,22.4,38.8,1.894
519_1900_1,46.061,0.658,37.7,0.6,0.1,22.3,39.3,1.894
519_1900_2,46.119,0.659,38.2,0.6,0.1,22.7,38.5,1.894
519_1900_3,46.755,0.668,37.5,0.6,0.2,22.3,39.4,1.894
519_1900_4,45.569,0.651,38.6,1.3,0.2,22.0,37.9,1.893
519_2000_0,44.772,0.673,37.9,0.6,0.2,22.9,38.4,1.995
519_2000_1,44.834,0.674,37.8,0.6,0.2,23.3,38.1,1.993
519_2000_2,44.841,0.675,37.6,0.6,0.2,23.2,38.5,1.994
519_2000_3,44.966,0.677,37.5,0.6,0.2,23.1,38.6,1.995
519_2000_4,44.954,0.676,37.2,0.5,0.1,23.5,38.7,1.995
519_2100_0,43.622,0.689,35.2,0.6,0.2,24.7,39.3,2.094
519_2100_1,43.727,0.691,36.1,0.6,0.2,24.8,38.4,2.093
519_2100_2,43.395,0.685,32.5,0.6,0.2,25.9,40.8,2.094
519_2100_3,43.606,0.689,34.7,0.6,0.2,24.9,39.6,2.095
519_2100_4,43.200,0.682,36.6,0.6,0.2,24.1,38.6,2.094
519_2300_0,39.634,0.685,36.7,0.7,0.2,23.6,38.8,2.293
519_2300_1,39.912,0.690,36.4,0.7,0.2,23.8,39.0,2.294
519_2300_2,40.332,0.697,35.6,0.6,0.3,24.3,39.1,2.293
519_2300_3,39.993,0.691,36.4,0.7,0.2,24.2,38.6,2.292
519_2300_4,39.650,0.685,36.4,0.7,0.3,23.7,38.9,2.292
519_2400_0,38.745,0.700,35.2,0.6,0.2,25.0,38.9,2.393
519_2400_1,38.995,0.704,35.7,0.6,0.3,24.1,39.2,2.39
519_2400_2,38.732,0.699,35.4,0.6,0.2,24.7,39.0,2.393
519_2400_3,38.679,0.698,35.2,1.0,0.1,24.5,39.2,2.392
519_2400_4,39.023,0.705,35.4,0.6,0.1,24.7,39.2,2.395
519_2500_0,37.842,0.711,35.2,0.6,0.2,25.2,38.7,2.492
519_2500_1,37.843,0.711,35.8,0.6,0.2,25.0,38.3,2.492
519_2500_2,37.717,0.709,34.6,0.6,0.2,25.2,39.4,2.492
519_2500_3,37.438,0.703,34.4,0.6,0.2,25.8,39.0,2.491
519_2500_4,37.636,0.707,35.0,0.6,0.0,24.6,39.8,2.491
519_2600_0,31.848,0.623,40.6,0.8,0.3,19.6,38.7,2.592
519_2600_1,32.101,0.629,39.0,0.8,0.2,21.1,38.8,2.592
519_2600_2,32.314,0.633,39.0,0.7,0.2,21.3,38.8,2.591
519_2600_3,32.218,0.631,39.0,0.8,0.2,20.9,39.1,2.591
519_2600_4,32.044,0.627,39.8,0.7,0.2,21.0,38.3,2.591
519_3700_0,27.347,0.760,32.0,0.8,0.2,27.3,39.7,3.681
519_3700_1,27.944,0.776,31.7,0.7,0.2,27.6,39.7,3.682
519_3700_2,27.946,0.776,31.6,0.7,0.2,27.5,40.0,3.681
519_3700_3,27.318,0.759,32.5,0.8,0.3,27.5,39.0,3.681
519_3700_4,27.877,0.775,32.1,0.7,0.2,27.4,39.7,3.682
521_1000_0,243.197,0.528,46.1,17.1,7.1,5.6,24.2,0.997457
521_1000_1,243.216,0.528,46.2,15.7,6.5,5.5,26.1,0.997681
521_1000_2,243.551,0.529,45.6,16.1,7.1,6.1,25.2,0.997454
521_1000_3,249.456,0.542,45.9,15.4,6.3,5.9,26.5,0.997756
521_1000_4,251.308,0.546,45.3,15.3,6.1,6.1,27.2,0.99764
521_1100_0,228.913,0.547,44.7,15.4,6.4,6.3,27.2,1.097
521_1100_1,228.825,0.547,45.1,15.5,6.5,6.0,26.8,1.097
521_1100_2,227.706,0.544,46.2,15.2,6.1,6.2,26.3,1.097
521_1100_3,224.728,0.537,46.2,16.3,6.4,5.4,25.7,1.097
521_1100_4,228.397,0.546,45.3,17.1,6.3,5.8,25.4,1.098
521_1200_0,210.262,0.548,46.6,15.4,5.8,5.8,26.4,1.197
521_1200_1,209.714,0.547,45.8,15.3,5.7,6.1,27.1,1.197
521_1200_2,209.934,0.547,45.5,15.9,6.1,5.9,26.6,1.197
521_1200_3,210.038,0.548,46.6,15.4,5.6,6.1,26.3,1.197
521_1200_4,206.846,0.539,46.1,14.6,6.0,6.2,27.0,1.197
521_1300_0,189.859,0.535,46.7,16.2,6.4,5.6,25.1,1.297
521_1300_1,193.742,0.546,46.5,14.6,5.8,6.4,26.8,1.297
521_1300_2,194.299,0.547,45.8,15.5,6.1,6.1,26.5,1.297
521_1300_3,194.839,0.549,45.8,15.8,6.0,6.1,26.3,1.297
521_1300_4,192.223,0.541,46.5,16.2,6.1,5.7,25.5,1.297
521_1500_0,169.113,0.551,46.0,16.5,5.7,6.2,25.6,1.497
521_1500_1,168.843,0.550,45.9,16.2,5.7,6.3,25.9,1.496
521_1500_2,168.440,0.549,45.7,15.2,6.2,6.2,26.7,1.496
521_1500_3,168.128,0.548,45.5,14.2,6.2,6.8,27.3,1.496
521_1500_4,168.303,0.549,45.6,15.4,6.0,6.7,26.3,1.497
521_1600_0,156.585,0.544,47.7,14.7,6.2,5.8,25.6,1.596
521_1600_1,157.822,0.549,44.5,16.2,6.8,6.3,26.2,1.596
521_1600_2,159.085,0.553,44.2,13.4,5.6,7.8,28.9,1.596
521_1600_3,158.620,0.551,48.0,13.6,4.8,7.2,26.4,1.596
521_1600_4,158.852,0.552,45.3,13.3,5.3,8.5,27.6,1.596
521_1700_0,146.692,0.542,45.8,16.0,6.3,6.7,25.2,1.696
521_1700_1,149.226,0.551,45.4,15.5,6.1,6.4,26.6,1.695
521_1700_2,149.762,0.553,44.1,14.6,6.3,7.2,27.9,1.695
521_1700_3,147.764,0.546,46.0,15.3,5.9,6.9,25.9,1.696
521_1700_4,149.285,0.551,45.3,14.6,6.0,6.9,27.1,1.696
521_1800_0,141.053,0.552,45.8,15.4,5.7,6.8,26.2,1.796
521_1800_1,139.924,0.547,46.8,14.6,5.7,6.5,26.3,1.796
521_1800_2,140.800,0.551,45.1,15.5,6.2,6.7,26.6,1.795
521_1800_3,140.932,0.551,44.6,15.1,6.2,7.2,26.9,1.795
521_1800_4,141.191,0.552,44.8,15.3,6.0,7.2,26.7,1.795
521_1900_0,134.348,0.555,44.7,15.5,6.1,6.8,26.8,1.895
521_1900_1,131.770,0.544,45.1,16.0,6.4,6.7,25.8,1.895
521_1900_2,134.291,0.554,44.4,14.8,6.4,7.4,27.0,1.895
521_1900_3,134.061,0.553,44.0,14.7,6.7,7.4,27.2,1.895
521_1900_4,133.594,0.552,45.8,16.3,6.2,6.6,25.2,1.895
521_2000_0,125.526,0.544,45.8,16.6,6.3,6.8,24.5,1.995
521_2000_1,125.169,0.542,47.9,15.7,5.4,6.4,24.6,1.995
521_2000_2,125.973,0.546,43.7,15.8,6.4,7.4,26.6,1.995
521_2000_3,125.945,0.545,45.7,15.6,6.2,6.9,25.6,1.995
521_2000_4,125.862,0.545,45.2,14.8,6.4,7.0,26.6,1.995
521_2100_0,120.213,0.547,46.1,15.5,5.8,6.9,25.8,2.094
521_2100_1,121.714,0.553,46.7,16.1,5.7,6.9,24.7,2.095
521_2100_2,121.629,0.553,45.5,14.6,6.0,7.3,26.5,2.094
521_2100_3,121.405,0.552,45.1,15.7,6.3,7.0,25.8,2.094
521_2100_4,121.233,0.551,44.4,16.2,6.6,6.9,25.8,2.095
521_2300_0,110.476,0.552,46.2,17.0,5.5,6.4,24.9,2.294
521_2300_1,110.326,0.551,45.0,14.9,6.2,7.4,26.4,2.294
521_2300_2,110.084,0.549,46.0,14.5,5.2,7.2,27.0,2.294
521_2300_3,109.688,0.548,46.1,15.4,5.8,7.1,25.7,2.294
521_2300_4,109.715,0.548,46.4,14.6,6.0,6.7,26.2,2.294
521_2400_0,104.948,0.547,43.9,14.5,6.7,7.6,27.4,2.394
521_2400_1,104.819,0.547,45.3,14.6,6.1,7.6,26.4,2.394
521_2400_2,105.120,0.548,46.0,15.3,6.1,7.4,25.1,2.394
521_2400_3,104.527,0.545,45.6,15.8,6.4,6.6,25.5,2.394
521_2400_4,104.720,0.546,45.4,13.9,6.2,8.1,26.4,2.394
521_2500_0,100.714,0.547,45.1,15.6,6.2,7.5,25.6,2.494
521_2500_1,101.521,0.551,45.9,14.6,5.3,7.4,26.9,2.493
521_2500_2,101.378,0.550,45.2,15.6,6.1,7.4,25.7,2.493
521_2500_3,101.930,0.553,45.7,14.4,5.6,7.7,26.6,2.492
521_2500_4,100.719,0.546,45.4,15.6,5.9,7.2,26.0,2.494
521_2600_0,95.377,0.539,47.6,16.9,5.7,5.9,24.0,2.595
521_2600_1,95.229,0.538,46.8,15.2,6.4,5.9,25.6,2.593
521_2600_2,95.190,0.538,46.0,15.8,6.4,6.2,25.7,2.592
521_2600_3,96.017,0.543,46.0,16.2,6.2,6.2,25.4,2.592
521_2600_4,96.597,0.546,44.5,15.2,6.4,7.1,26.7,2.594
521_3700_0,70.153,0.557,45.2,14.4,6.0,7.7,26.7,3.651
521_3700_1,70.172,0.557,44.7,14.7,5.7,7.8,27.0,3.65
521_3700_2,70.099,0.556,44.4,14.9,6.3,7.7,26.7,3.651
521_3700_3,70.042,0.556,45.6,16.0,5.5,7.7,25.2,3.65
521_3700_4,70.881,0.563,44.1,15.2,5.9,7.7,27.2,3.65
538_1000_0,103.433,0.285,94.7,0.2,0.3,0.3,4.4,0.997568
538_1000_1,103.471,0.285,94.7,0.3,0.3,0.3,4.3,0.997451
538_1000_2,101.892,0.280,96.1,0.3,0.3,0.2,3.1,0.99729
538_1000_3,101.713,0.280,96.4,0.3,0.3,0.2,2.7,0.9972799999999999
538_1000_4,101.994,0.281,95.7,0.3,0.3,0.3,3.5,0.997666
538_1100_0,92.845,0.281,96.3,0.3,0.4,0.2,2.8,1.098
538_1100_1,93.300,0.282,94.9,0.3,0.3,0.3,4.2,1.097
538_1100_2,92.858,0.281,96.2,0.3,0.3,0.3,2.9,1.097
538_1100_3,92.660,0.281,95.5,0.2,0.3,0.3,3.6,1.097
538_1100_4,92.719,0.281,95.7,0.5,0.3,0.2,3.2,1.098
538_1200_0,85.255,0.282,96.0,0.3,0.3,0.3,3.1,1.197
538_1200_1,85.078,0.281,96.6,0.3,0.4,0.2,2.5,1.197
538_1200_2,85.056,0.281,96.5,0.3,0.3,0.3,2.7,1.197
538_1200_3,85.046,0.281,96.5,0.3,0.3,0.3,2.7,1.197
538_1200_4,85.078,0.281,96.5,0.3,0.4,0.2,2.6,1.197
538_1300_0,79.672,0.285,94.2,0.2,0.3,0.4,4.8,1.296
538_1300_1,79.681,0.285,94.1,0.2,0.3,0.5,4.8,1.296
538_1300_2,79.671,0.285,94.0,0.3,0.3,0.4,4.9,1.297
538_1300_3,78.932,0.282,95.3,0.3,0.3,0.4,3.8,1.296
538_1300_4,79.622,0.285,94.4,0.3,0.3,0.4,4.5,1.297
538_1500_0,69.265,0.286,94.3,0.2,0.3,0.5,4.6,1.495
538_1500_1,69.252,0.286,94.3,0.2,0.3,0.5,4.6,1.495
538_1500_2,69.197,0.286,94.5,0.2,0.3,0.5,4.5,1.495
538_1500_3,69.303,0.286,94.1,0.2,0.5,0.5,4.7,1.495
538_1500_4,69.378,0.287,94.2,0.2,0.3,0.5,4.8,1.496
538_1600_0,65.179,0.287,93.8,0.2,0.3,0.6,5.0,1.595
538_1600_1,65.055,0.287,94.0,0.2,0.3,0.6,4.8,1.596
